SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
WAR01,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,"Sedges/rushes to about 1.5m in height of Reedia spathacea/Empodisma gracillimum/Schoenus multiglumis with Homalospermum firmum low open shrubs to scrub. Common associates include: Acacia hastulata, Acidonia microcarpa, Actinotus laxus, Adenanthos obovatus, Boronia stricta, Cephalotus follicularis, Comesperma nudiusculum, Corybas abditus, Cosmelia  rubra ,Drosera hamiltonii, Gonocarpus simplex, Leucopogon australis, Leptocarpus tenax, Lycopodiella serpentina, Sphaerolobium rostratum, Sphenotoma gracile, Stylidium glaucum, Tetratheca filiformis, Utricularia paulineae and Xyris flexifolia. Less common associates are: Callistemon glaucus, Lepidosperma effusum and Rhadinothamnus anceps. Reedia spathacea is a major structural and possibly functional component of these wetlands and an indicator of specific wetland habitat (hydroperiod, water chemistry), vegetation floristics and condition. It is sensitive to severe or frequent fire and is preferentially grazed by feral pigs until virtual elimination from a site. A number of taxa endemic to the Warren Biogeographic Region and/or CALM Priority Species are concentrated in these wetlands including  Amperea protensa, Comesperma nudiusculum, Drosera binata, Drosera hamiltonii, Gonocarpus simplex, Schizaea rupestris, Schoenus multiglumis and Sphaerolobium rostratum. These assemblages inhabit paluslopes of peat over Tertiary coarse sand colluvium and sandy mud floodplains of leptoscale rivers and creeks. The perennially high water tables of these freshwater wetlands are primarily maintained by the humid climate, collection of rainwater from large natural catchment areas by subsurface flow into confined aquifers and water storage capacity of peat.",23,Greater than 20 (does not meet IUCN location criteria),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey/mapping),Quantitative analysis of data not publically available,Warren workshop,105891,"< 200,000ha (potentially meets extent of occurrence criteria for EN)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),Warren workshop: survey,111,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),Warren workshop: survey,30 to 50% area subject to pressures/threats,Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,30 to 50% area subject to pressures/threats,Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,wetland,,,None,Priority 1,2002,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ",WAR01,"DEC managed land - reserves IUCN I-IV, Other public lands - roads and water bodies, DEC managed land - State forest/Timber reserve, Other crown reserves, Unallocated crown land",2013,,,Fire seasonality ,summer fires,"Fire regime (intensity, frequency, seasonality, scale)",all aspects of fire regime,draft in prep,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,quantify degree of variation in species composition within the assemblage,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ii) Threatened/priority ecological community recovery plan (specify),finalise IRP for PEC,MD i) Fire management for biodiversity (specify),,MI ix) Regulation - Water allocation,,MI xiii) Education and awareness (specify),"public awareness, Walpole area, community engagement",,,,,,
WAR01,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire intensity,killed by intense fires,Invasive/introduced omnivores (specify):,pigs,,,,,Au ii) Ecological niche and life history (habitat suitability),"baseline peat community health - water quality, vegetation health, soil chemistry",EV vi) Input of existing data into DPaW�s corporate databases (specify source of data),,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD iv) Herbivore/omnivore control or eradication ,"pig control, fencing to exclude pigs",MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
WAR01,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced omnivores (specify):,pigs,Urban development ,clearing & altered drainage from housing development,,,,,MA v) Improving management (effectiveness of conservation actions),mulching trial to address ASS,,,CP ix) Other management plan (specify),"implement Walpole Wilderness, Walpole-Nornalup NP, Shannon and D'Entrecasteaux Management Plans",MD vi) Habitat restoration (specify),mulching trial,MI xi) Regulation - environmental impact assessment,,,,,,,,,
WAR01,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing & altered drainage from housing development,Altered drainage (specify):,clearing & altered drainage from housing development,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,CP ix) Other management plan (specify),Warren Region Fire Management Plan,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
WAR01,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altered drainage (specify):,clearing & altered drainage from housing development,Climate change (long-term reduced rainfall),"drying climate, impacts on ground and surface water hydrology",,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with LGAs for management,,,,,,,,
WAR01,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify):,town water supply,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
WAR01,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),interaction with fire regimes,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Basalt association of the Warren Region,Bunbury Basalt,"Dwarf Scrub D Leucophyta brownii, Sarcocornia quinquefolia and Olearia axillaris with Open Low Sedges of Juncus pauciflorus and Herbs of Sarcocornia quinquefolia, Isolepis sp., Samolus repens and Very Open Low Grass of Sporobolus virginicus. Bunbury Basalt outcrops, flats over Bunbury Basalt with reddish brown sandy clay loam basaltic soils and basaltic saprolite outcrops with light yellowish brown clays.
Threats: Uncontrolled vehicle access, trampling, grazing, altered hydrology, Phytophthora and acid sulphate soils. Black Point - near Augusta Nominated due to the very limited occurrence of outcropping basalt and basalt soils in Western Australia.",1,1 (potentially meets location criteria CR),Quantitative analysis of data published or publically available but not peer reviewed,Static (no change),Quantitative analysis of data published or publically available but not peer reviewed,Warren workshop,17,< 100ha (potentially meets extent of occurrence criteria for CR),Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),Warren workshop: survey,6,< 10ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),Warren workshop: survey & mapping,5 to 30% area subject to pressures/threats,Static,Low severity,Static,Expert opinion,Warren workshop,5 to 30% area subject to pressures/threats,Static,Low severity,Static,Expert opinion,Warren workshop,Vascular plants,,,None,Priority 2,2010,"P2 - generally ? 10 occurrences or AOO ? 200 ha, some occurrences not under immediate threat",WAR01,DEC managed land - reserves IUCN I-IV,2009,,,Recreational disturbance (specify):,"vehicles, camping, trampling",Recreational disturbance (specify):,"vehicles, camping, trampling",none,,,,IN vii) Small-scale survey of taxa,aquatic invertrbates & microbial communities,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP viii) Reserve area plan (DPaW tenure only; specify),implement Shannon and D'Entrecasteaux Management Plan,MD xii) Manage access,manage access,,,MI xiii) Education and awareness (specify),promote appreciation of vegetation community and reduce pressure from recreational users,,,,,,
Western Australia,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify):,rabbits,Invasive/introduced herbivores (specify):,rabbits,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,aquatic invertrbates & microbial communities,EV ii) Develop/implement threat monitoring protocols,assess efficacy of erosion controls installed in the mid 1990s,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD iv) Herbivore/omnivore control or eradication ,rabbit control ,,,,,,,,,,
Western Australia,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion,wind erosion initaited by grazing & recreation,Erosion,"wind erosion initaited by grazing, recreation & fire",,,,,,,,,,,MD vi) Habitat restoration (specify),ameliorate wind erosion,,,,,,,,,,
Western Australia,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tourism development,,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Basalt association of the Warren Region,Bunbury Basalt,"Dwarf Scrub D Leucophyta brownii, Sarcocornia quinquefolia and Olearia axillaris with Open Low Sedges of Juncus pauciflorus and Herbs of Sarcocornia quinquefolia, Isolepis sp., Samolus repens and Very Open Low Grass of Sporobolus virginicus. Bunbury Basalt outcrops, flats over Bunbury Basalt with reddish brown sandy clay loam basaltic soils and basaltic saprolite outcrops with light yellowish brown clays.
Threats: Uncontrolled vehicle access, trampling, grazing, altered hydrology, Phytophthora and acid sulphate soils. Black Point - near Augusta Nominated due to the very limited occurrence of outcropping basalt and basalt soils in Western Australia.",1,1 (potentially meets location criteria CR),Quantitative analysis of data published or publically available but not peer reviewed,Static (no change),Quantitative analysis of data published or publically available but not peer reviewed,Warren workshop,17,< 100ha (potentially meets extent of occurrence criteria for CR),Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),Warren workshop: survey,6,< 10ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),Warren workshop: survey & mapping,5 to 30% area subject to pressures/threats,Static,Low severity,Static,Expert opinion,Warren workshop,5 to 30% area subject to pressures/threats,Static,Low severity,Static,Expert opinion,Warren workshop,Vascular plants,,,None,Priority 2,2010,"P2 - generally ? 10 occurrences or AOO ? 200 ha, some occurrences not under immediate threat",WAR01,DEC managed land - reserves IUCN I-IV,2009,,"Notes from workshop: there may be another occurrence of Basalt assoc in JAF02 in South West region, not currently defined as a PEC. ",Recreational disturbance (specify):,"vehicles, camping, trampling",Recreational disturbance (specify):,"vehicles, camping, trampling",none,,,,IN vii) Small-scale survey of taxa,aquatic invertrbates & microbial communities,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP viii) Reserve area plan (DPaW tenure only; specify),implement Shannon and D'Entrecasteaux Management Plan,MD xii) Manage access,manage access,,,MI xiii) Education and awareness (specify),promote appreciation of vegetation community and reduce pressure from recreational users,,,,,,
WAR01,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify):,rabbits,Invasive/introduced herbivores (specify):,rabbits,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,aquatic invertrbates & microbial communities,EV ii) Develop/implement threat monitoring protocols,assess efficacy of erosion controls installed in the mid 1990s,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD iv) Herbivore/omnivore control or eradication ,rabbit control ,,,,,,,,,,
WAR01,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion,wind erosion initaited by grazing & recreation,Erosion,"wind erosion initaited by grazing, recreation & fire",,,,,,,,,,,MD vi) Habitat restoration (specify),ameliorate wind erosion,,,,,,,,,,
WAR01,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Basalt association of the Warren Region,Bunbury Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tourism development,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,"Aquatic invertebrate assemblages of granite outcrops associated with Burnside Batholith (formerly Southern Granite community (Muirillup Rock, Northcliffe))",Southern granite community (Muirillup Rock),"Subset of wheatbelt granites; insufficient information to distinguish discrete community type/s. Southern granite pool aquatic invertebrate community (Muirillup Rock, Northcliffe) Insufficient information to distinguish community types.",Unknown,Greater than 20 (does not meet IUCN location criteria),Expert opinion,Increased (new knowledge - biological survey/mapping),Expert opinion,Warren workshop,Unknown,Unknown,Minimum convex polygon of records in DPaW corporate database,Unknown,S&C: 27ha. Warren workshop: currently only one granite defined but invert communities occur on other granites,Unknown,Unknown,-,Unknown,S&C: 16ha. Warren workshop: currently only one granite defined but invert communities occur on other granites,Unknown,Unknown,Unknown,Unknown,-,Warren workshop,Unknown,Unknown,Unknown,Unknown,-,Warren workshop,Aquatic invertebrates,,,None,Priority 2,2009,"P2 - generally ? 10 occurrences or AOO ? 200 ha, some occurrences not under immediate threat",WAR01,DEC managed land - reserves IUCN I-IV,2012,,Notes from workshop: Currently defined for Muirillup Rock only but invert communities occur on other granites. ,Fire intensity,,Fire intensity,,none,,,,IN vii) Small-scale survey of taxa,"survey of inverts and crytograms - many more granites of Burnside batholith (eg. Chudalup, Mitchell forest block, Inlet block, Rocky block)", EV i) Develop/implement ecological monitoring protocols (condition or state of asset) ,after community is described,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD xii) Manage access,vehicles & visitation,,,,,,,,,,
Western Australia,Warren,"Aquatic invertebrate assemblages of granite outcrops associated with Burnside Batholith (formerly Southern Granite community (Muirillup Rock, Northcliffe))",Southern granite community (Muirillup Rock),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,,Fire seasonality ,,,,,,IN vi) Occurrences and boundaries of ecological communities,new occurrences and mapping of boundaries,,,CP viii) Reserve area plan (DPaW tenure only; specify),implement Walpole Wilderness and adjacent reserves & Shannon and D'Entrecasteaux Management Plans ,MD iv) Herbivore/omnivore control or eradication ,pig control,,,,,,,,,,
Western Australia,Warren,"Aquatic invertebrate assemblages of granite outcrops associated with Burnside Batholith (formerly Southern Granite community (Muirillup Rock, Northcliffe))",Southern granite community (Muirillup Rock),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,Climate change (long-term reduced rainfall),,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,determine assemblages - rock pools and surrounding peats,,,CP ix) Other management plan (specify),FMG for granites,,,,,,,,,,,,
